Year,State,Winner,Type[i],#C[ii],$Spent Actual,$Spent 2001$,CPV 2001,,,
1980,NH,D +18,IW,6,"841,688",1813983.00,4.72,,,
1982,NH,R +  6,IL,10,"1,207,898",2220401.00,7.79,,,
1984,NH,R +34,IW,5,"1,097,918",1876783.00,4.89,,,
1986,NH,R +  8,IW,5,"1,369,826",2220139.00,5.05,,,
1988,NH,R +22,O,6,"1,520,085",2282410.00,5.19,,,
1990,NH,R +25,IW,6,"1,146,625",1557914.00,5.3,,,
1992,NH,R +16,O,10,"2,446,615",3096981.00,6,,,
1994,NH,R +44,IW,7,"834,880",999856.00,3.21,,,
1996,NH,D +17,O,10,"2,196,922",2531016.00,5.12,,,
1998,NH,D +33,IW,7,"3,086,266",3343733.00,10.52,,,
1977,NJ,D +14,IW,15,"8,061,783",23641159.00,11.4,,,
1981,NJ,R + 0.07,O,21,"19,373,169",37838221.00,14.78,,,
1985,NJ,R +40,IW,7,"10,725,189",17698332.00,9.07,,,
1989,NJ,D +24,O,15,"26,172,262",37442435.00,16.62,,,
1993,NJ,R +  2,IL,4,"22,458,552",27590359.00,11.35,,,
1997,NJ,R +  1,IW,7,"27,146,360",29863982.00,12.45,,,
1978,NM,D +  1,O,4,"849,619",2315038.00,6.7,,,
1982,NM,D +  6,O,8,"2,782,381",5114671.00,12.58,,,
1986,NM,R +  6,O,9,"2,499,600",4051216.00,10.26,,,
1990,NM,D +  8,O,8,"4,116,227",5592700.00,13.63,,,
1994,NM,R +10,IL,8,"4,910,560",5880910.00,12.58,,,
1998,NM,R +10,IW,8,"5,769,970",6251322.00,12.77,,,
1978,NV,R +17,O,15,"1,840,962",5016245.00,26.74,,,
1982,NV,D +11,IL,11,"2,825,374",5193702.00,22.09,,,
1986,NV,D +47,IW,8,"1,833,735",2972018.00,11.78,,,
1990,NV,D +35,IW,16,"1,994,430",2709823.00,8.67,,,
1994,NV,D +12,IW,14,"5,662,734",6781717.00,18.28,,,
1998,NV,R +10,O,16,"9,960,606",10791556.00,24.89,,,
1978,NY,D +  6,IW,9,"11,263,100",30689646.00,6.69,,,
1982,NY,D +  4,O,8,"23,558,518",43306099.00,8.29,,,
1986,NY,D +33,IW,5,"13,345,260",21629271.00,5.07,,,
1990,NY,D +33,IW,7,"6,936,791",9424988.00,2.29,,,
1994,NY,R +  4,IL,8,"32,323,688",38711004.00,7.44,,,
1998,NY,R +23,IW,12,"40,515,856",43895835.00,8.8,,,
1978,OH,R +  2,IW,8,"4,637,235",12635518.00,4.58,,,
1982,OH,D +20,O,11,"7,650,877",14064112.00,4.23,,,
1986,OH,D +22,IW,4,"9,037,457",14647418.00,4.78,,,
1990,OH,R +12,O,3,"16,016,528",21761587.00,6.26,,,
1994,OH,R +47,IW,4,"6,910,137",8275613.00,2.47,,,
1998,OH,R +  5,O,4,"23,378,343",25328649.00,7.55,,,
1978,OK,D +  4,O,9,"1,328,185",3619033.00,4.7,,,
1982,OK,D +24,IW,6,"2,334,799",4291910.00,4.88,,,
1986,OK,R +  2,O,13,"3,856,223",6249956.00,6.97,,,
1990,OK,D +24,O,14,"9,225,182",12534215.00,13.75,,,
1994,OK,R +17,O,10,"5,484,887",6568727.00,6.6,,,
1998,OK,R +17,IW,4,"2,953,507",3199899.00,3.66,,,
1974,OR,R +27,O,12,"718,338",2583950.00,3.36,,,
1978,OR,R +10,IL,14,"1,172,202",3194011.00,3.52,,,
1982,OR,R +25,IW,14,"1,933,604",3554419.00,3.5,,,
1986,OR,D +10,O,14,"5,049,211",8183486.00,7.75,,,
1990,OR,D +  4,O,10,"5,546,051",7535395.00,6.78,,,
1994,OR,D +12,O,10,"6,427,900",7698084.00,6.3,,,
1998,OR,D +33,IW,12,"1,791,597",1941059.00,4.9,,,
1978,PA,R +  7,O,13,"4,207,183",11463714.00,3.1,,,
1982,PA,R +  3,IW,8,"4,924,592",9052559.00,2.48,,,
1986,PA,D +  3,O,6,"16,168,820",26205543.00,7.81,,,
1990,PA,D +36,IW,4,"8,770,476",11916408.00,3.9,,,
1994,PA,R +  5,O,15,"36,051,532",43175487.00,12.04,,,
1998,PA,R +27,IW,6,"12,628,682",13682212.00,4.52,,,
1978,RI,D +32,IW,3,"577,123",1572542.00,3.95,,,
1980,RI,D +48,IW,2,"    1.297,327",2795963.00,6.89,,,
1982,RI,D +49,IW,4,"423,029",777627.00,2.38,,,
1984,RI,R +20,O,3,"3,475,483",5940997.00,14.55,,,
1986,RI,R +33,IW,5,"2,445,369",3963321.00,9.9,,,
1988,RI,R +  2,IW,4,"5,037,168",7563315.00,18.89,,,
1990,RI,D +48,IL,5,"8,747,055",11885944.00,33.33,,,
1992,RI,D +28,IW,7,"2,569,652",3252724.00,7.66,,,
1994,RI,R +  3,IL,7,"4,141,612",4960014.00,13.73,,,
1998,RI,R +  9,IW,5,"2,910,236",3153018.00,10.29,,,
1978,SC,D +23,O,6,"2,727,090",7430763.00,11.95,,,
1982,SC,D +40,IW,3,"651,799",1198160.00,1.78,,,
1986,SC,R +  2,O,7,"6,865,817",11127742.00,14.92,,,
1990,SC,R +442,IW,4,"2,218,997",3014942.00,3.96,,,
1994,SC,R +  2,O,9,"12,322,069",14756969.00,15.8,,,
1998,SC,D +  8,IL,4,"9,173,883",9939202.00,9.28,,,
1978,SD,R +14,O,6,"686,193",1869736.00,7.25,,,
1982,SD,R +42,IW,3,"254,564",467949.00,1.68,,,
1986,SD,R +  4,O,7,"2,482,099",4022851.00,13.66,,,
1990,SD,R +18,IW,2,"1,271,841",1728045.00,6.73,,,
1994,SD,R +14,IL,6,"2,751,491",3295199.00,10.57,,,
1998,SD,R +31,IW,4,"1,363,449",1477193.00,5.68,,,
1978,TN,R +12,O,15,"6,761,642",18424093.00,15.54,,,
1982,TN,R +20,IW,10,"6,979,265",12829531.00,10.36,,,
1986,TN,D +  8,O,8,"14,635,836",23720966.00,19.75,,,
1990,TN,D +24,IW,9,"1,788,592",2430152.00,3.07,,,
1994,TN,R +  9,O,16,"27,990,695",33521790.00,22.54,,,
1998,TN,R +40,IW,14,"5,068,839",5491700.00,5.63,,,
1978,TX,R + 0.8,IL,10,"11,183,157",30471817.00,12.96,,,
1982,TX,D +  7,IL,11,"22,421,472",41215941.00,13.03,,,
1986,TX,R +  7,IL,12,"33,515,785",54320559.00,15.98,,,
1990,TX,D +  2,O,15,"50,537,239",68665359.00,18.43,,,
1994,TX,R +  8,IL,5,"26,435,001",31658683.00,7.2,,,
